Jnt_1,Jnt_2,Jnt_3,Jnt_4,Jnt_5,Jnt_6,Robot_ID,Gripper_status,DO1,DO2,DO3,DO4,Bypass_active?,Chng_Rbots,X,Y,Z,Q_X,Q_Y,Q_Z,Q_W,Mouse_pos_X,Mouse_pos_Y,Screen_mode,Button_active
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,0,0,portrait,Slider5
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,0,1507.831,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,0,1513,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,81,1231,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,81,1231,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,81,1231,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,81,1231,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,81,1231,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,81,1231,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,81,1231,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,81,1231,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,81,1231,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,81,1231,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,81,1231,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,81,1231,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,81,1231,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,81,1231,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,81,1231,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,81,1231,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1832,96,portrait,Bypass Vicon
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1832,96,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1832,96,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1963,130,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1963,130,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1963,130,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1963,130,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1963,130,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1963,130,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1963,130,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1963,130,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1963,130,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1963,130,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1990.011,72.00562,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1994.041,73.04138,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1984.152,78,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1984,79,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1984,88,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1984,88,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1984,88,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1925.294,176.7062,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1925.294,176.7062,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1925.294,176.7062,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1925.294,176.7062,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,0,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1925.294,176.7062,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,Robot Selector
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1922,207,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,1,1,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1843,109,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1843,109,portrait,Bypass Vicon
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1843,109,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1843,109,portrait,
144.0703,-97.62945,99.05328,-1.423834,54.07038,-90,1,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1843,109,portrait,
